Parcel_ID,O_zone,D_zone,CEP,Network,Type
91816,2457,2668,PostNL,conventional,tour-based
91816,2668,2296,PostNL,conventional,tour-based
91819,5330,4178,PostNL,conventional,tour-based
91819,4178,2668,PostNL,conventional,consolidated
91819,2668,2296,PostNL,conventional,tour-based
91836,2295,2668,PostNL,conventional,tour-based
91836,2668,2296,PostNL,conventional,tour-based
91857,2466,2668,PostNL,conventional,tour-based
91857,2668,2296,PostNL,conventional,tour-based
91867,6734,2668,PostNL,conventional,tour-based
91867,2668,2296,PostNL,conventional,tour-based
91893,2319,2668,PostNL,conventional,tour-based
91893,2668,2296,PostNL,conventional,tour-based
91916,7057,7399,PostNL,conventional,tour-based
91916,7399,2668,PostNL,conventional,consolidated
91916,2668,2296,PostNL,conventional,tour-based
91947,262,4604,DPD,conventional,tour-based
91947,4604,2296,DPD,conventional,tour-based
91948,2466,4604,DPD,conventional,tour-based
91948,4604,2296,DPD,conventional,tour-based
91958,2275,2662,DHL,conventional,tour-based
91958,2662,2297,DHL,conventional,tour-based
91960,7063,5501,DHL,conventional,tour-based
91960,5501,2662,DHL,conventional,consolidated
91960,2662,2297,DHL,conventional,tour-based
91972,7384,5501,DHL,conventional,tour-based
91972,5501,2662,DHL,conventional,consolidated
91972,2662,2297,DHL,conventional,tour-based
91992,2311,4604,DPD,conventional,tour-based
91992,4604,2297,DPD,conventional,tour-based
91993,6923,4604,DPD,conventional,tour-based
91993,4604,2297,DPD,conventional,tour-based
91995,3244,5514,GLS,conventional,tour-based
91995,5514,4604,GLS,conventional,consolidated
91995,4604,2297,DPD,conventional,tour-based
92003,1765,6955,PostNL,conventional,tour-based
92003,6955,2668,PostNL,conventional,consolidated
92003,2668,2297,PostNL,conventional,tour-based
92045,2501,2668,PostNL,conventional,tour-based
92045,2668,2297,PostNL,conventional,tour-based
92046,4234,4178,PostNL,conventional,tour-based
92046,4178,2668,PostNL,conventional,consolidated
92046,2668,2297,PostNL,conventional,tour-based
92062,143,4604,DPD,conventional,tour-based
92062,4604,2297,DPD,conventional,tour-based
92079,5536,5501,DHL,conventional,tour-based
92079,5501,2662,DHL,conventional,consolidated
92079,2662,2298,DHL,conventional,tour-based
92082,2341,4604,DPD,conventional,tour-based
92082,4604,2298,DPD,conventional,tour-based
92108,6830,6767,DHL,conventional,tour-based
92108,6767,2662,DHL,conventional,consolidated
92108,2662,2299,DHL,conventional,tour-based
92109,2359,2662,DHL,conventional,tour-based
92109,2662,2299,DHL,conventional,tour-based
92122,1157,2668,PostNL,conventional,tour-based
92122,2668,2299,PostNL,conventional,tour-based
92128,2433,2668,PostNL,conventional,tour-based
92128,2668,2299,PostNL,conventional,tour-based
92145,2335,1044,DHL,conventional,tour-based
92145,1044,2300,DHL,conventional,tour-based
92190,7334,7399,PostNL,conventional,tour-based
92190,7399,2668,PostNL,conventional,consolidated
92190,2668,2301,PostNL,conventional,tour-based
92224,2296,4604,DPD,conventional,tour-based
92224,4604,2303,DPD,conventional,tour-based
92235,6848,2668,PostNL,conventional,tour-based
92235,2668,2303,PostNL,conventional,tour-based
92285,1403,2668,PostNL,conventional,tour-based
92285,2668,2304,PostNL,conventional,tour-based
92304,6775,4604,DPD,conventional,tour-based
92304,4604,2304,DPD,conventional,tour-based
92314,2391,2662,DHL,conventional,tour-based
92314,2662,1044,DHL,conventional,consolidated
92314,1044,2305,DHL,conventional,tour-based
92322,2317,1044,DHL,conventional,tour-based
92322,1044,2305,DHL,conventional,tour-based
92324,2429,4604,DPD,conventional,tour-based
92324,4604,2305,DPD,conventional,tour-based
92349,5483,2668,PostNL,conventional,tour-based
92349,2668,2305,PostNL,conventional,tour-based
92364,5758,4178,PostNL,conventional,tour-based
92364,4178,2668,PostNL,conventional,consolidated
92364,2668,2305,PostNL,conventional,tour-based
92365,4331,6955,PostNL,conventional,tour-based
92365,6955,2668,PostNL,conventional,consolidated
92365,2668,2305,PostNL,conventional,tour-based
92384,2330,4604,DPD,conventional,tour-based
92384,4604,2306,DPD,conventional,tour-based
92394,3034,2668,PostNL,conventional,tour-based
92394,2668,2306,PostNL,conventional,tour-based
92430,2441,2668,PostNL,conventional,tour-based
92430,2668,2309,PostNL,conventional,tour-based
92432,7282,6767,DHL,conventional,tour-based
92432,6767,1044,DHL,conventional,consolidated
92432,1044,2311,DHL,conventional,tour-based
92441,3393,5501,DHL,conventional,tour-based
92441,5501,1044,DHL,conventional,consolidated
92441,1044,2311,DHL,conventional,tour-based
92456,5369,4178,PostNL,conventional,tour-based
92456,4178,2668,PostNL,conventional,consolidated
92456,2668,2311,PostNL,conventional,tour-based
92475,2315,4604,DPD,conventional,tour-based
92475,4604,2311,DPD,conventional,tour-based
92495,2445,4604,DPD,conventional,tour-based
92495,4604,2312,DPD,conventional,tour-based
92502,2385,2668,PostNL,conventional,tour-based
92502,2668,2312,PostNL,conventional,tour-based
92511,5644,4178,PostNL,conventional,tour-based
92511,4178,2668,PostNL,conventional,consolidated
92511,2668,2312,PostNL,conventional,tour-based
92533,2424,4604,DPD,conventional,tour-based
92533,4604,2313,DPD,conventional,tour-based
92542,2412,2668,PostNL,conventional,tour-based
92542,2668,2313,PostNL,conventional,tour-based
92556,407,5514,GLS,conventional,tour-based
92556,5514,4604,GLS,conventional,consolidated
92556,4604,2313,DPD,conventional,tour-based
92571,2295,2668,PostNL,conventional,tour-based
92571,2668,2314,PostNL,conventional,tour-based
92575,801,2662,DHL,conventional,tour-based
92575,2662,1044,DHL,conventional,consolidated
92575,1044,2315,DHL,conventional,tour-based
92582,3430,5501,DHL,conventional,tour-based
92582,5501,1044,DHL,conventional,consolidated
92582,1044,2315,DHL,conventional,tour-based
92583,2401,2662,DHL,conventional,tour-based
92583,2662,1044,DHL,conventional,consolidated
92583,1044,2315,DHL,conventional,tour-based
92584,2461,2662,DHL,conventional,tour-based
92584,2662,1044,DHL,conventional,consolidated
92584,1044,2315,DHL,conventional,tour-based
92588,2415,2662,DHL,conventional,tour-based
92588,2662,1044,DHL,conventional,consolidated
92588,1044,2315,DHL,conventional,tour-based
92621,2313,2668,PostNL,conventional,tour-based
92621,2668,2315,PostNL,conventional,tour-based
92629,2461,2668,PostNL,conventional,tour-based
92629,2668,2315,PostNL,conventional,tour-based
92637,2427,2668,PostNL,conventional,tour-based
92637,2668,2315,PostNL,conventional,tour-based
92641,2433,2668,PostNL,conventional,tour-based
92641,2668,2315,PostNL,conventional,tour-based
92646,2405,2668,PostNL,conventional,tour-based
92646,2668,2315,PostNL,conventional,tour-based
92650,300,2668,PostNL,conventional,tour-based
92650,2668,2315,PostNL,conventional,tour-based
92654,7057,7399,PostNL,conventional,tour-based
92654,7399,2668,PostNL,conventional,consolidated
92654,2668,2315,PostNL,conventional,tour-based
92663,7317,7399,PostNL,conventional,tour-based
92663,7399,2668,PostNL,conventional,consolidated
92663,2668,2315,PostNL,conventional,tour-based
92683,4369,5501,DHL,conventional,tour-based
92683,5501,1044,DHL,conventional,consolidated
92683,1044,2316,DHL,conventional,tour-based
92689,2459,2662,DHL,conventional,tour-based
92689,2662,1044,DHL,conventional,consolidated
92689,1044,2316,DHL,conventional,tour-based
92697,5397,5501,DHL,conventional,tour-based
92697,5501,1044,DHL,conventional,consolidated
92697,1044,2316,DHL,conventional,tour-based
92703,7367,5501,DHL,conventional,tour-based
92703,5501,1044,DHL,conventional,consolidated
92703,1044,2316,DHL,conventional,tour-based
92710,2341,1044,DHL,conventional,tour-based
92710,1044,2316,DHL,conventional,tour-based
92713,2312,1044,DHL,conventional,tour-based
92713,1044,2316,DHL,conventional,tour-based
92727,2341,1044,DHL,conventional,tour-based
92727,1044,2316,DHL,conventional,tour-based
92762,6848,4604,DPD,conventional,tour-based
92762,4604,2316,DPD,conventional,tour-based
92767,3918,4137,FedEx,conventional,tour-based
92767,4137,4604,FedEx,conventional,consolidated
92767,4604,2316,DPD,conventional,tour-based
92781,2420,4604,DPD,conventional,tour-based
92781,4604,2316,DPD,conventional,tour-based
92785,6961,4604,DPD,conventional,tour-based
92785,4604,2316,DPD,conventional,tour-based
92787,2367,4604,DPD,conventional,tour-based
92787,4604,2316,DPD,conventional,tour-based
92813,7244,6955,PostNL,conventional,tour-based
92813,6955,2668,PostNL,conventional,consolidated
92813,2668,2316,PostNL,conventional,tour-based
92856,6046,4178,PostNL,conventional,tour-based
92856,4178,2668,PostNL,conventional,consolidated
92856,2668,2316,PostNL,conventional,tour-based
92889,2262,2668,PostNL,conventional,tour-based
92889,2668,2316,PostNL,conventional,tour-based
92905,5900,6955,PostNL,conventional,tour-based
92905,6955,2668,PostNL,conventional,consolidated
92905,2668,2316,PostNL,conventional,tour-based
92910,2295,2668,PostNL,conventional,tour-based
92910,2668,2316,PostNL,conventional,tour-based
92929,2415,2668,PostNL,conventional,tour-based
92929,2668,2316,PostNL,conventional,tour-based
92953,1445,2668,PostNL,conventional,tour-based
92953,2668,2316,PostNL,conventional,tour-based
92954,2429,2668,PostNL,conventional,tour-based
92954,2668,2316,PostNL,conventional,tour-based
92959,2294,4604,DPD,conventional,tour-based
92959,4604,2316,DPD,conventional,tour-based
92978,6795,4604,DPD,conventional,tour-based
92978,4604,2316,DPD,conventional,tour-based
92983,2391,2662,DHL,conventional,tour-based
92983,2662,1044,DHL,conventional,consolidated
92983,1044,2317,DHL,conventional,tour-based
93012,2295,4604,DPD,conventional,tour-based
93012,4604,2318,DPD,conventional,tour-based
93042,4221,4178,PostNL,conventional,tour-based
93042,4178,2668,PostNL,conventional,consolidated
93042,2668,2319,PostNL,conventional,tour-based
93050,7235,7241,DHL,conventional,tour-based
93050,7241,1044,DHL,conventional,consolidated
93050,1044,2320,DHL,conventional,tour-based
93070,2410,4604,DPD,conventional,tour-based
93070,4604,2321,DPD,conventional,tour-based
93084,2320,4604,DPD,conventional,tour-based
93084,4604,2321,DPD,conventional,tour-based
93090,1804,1044,DHL,conventional,tour-based
93090,1044,2323,DHL,conventional,tour-based
93095,4553,4604,DPD,conventional,tour-based
93095,4604,2323,DPD,conventional,tour-based
93110,6918,6955,PostNL,conventional,tour-based
93110,6955,2668,PostNL,conventional,consolidated
93110,2668,2323,PostNL,conventional,tour-based
93140,2332,1044,DHL,conventional,tour-based
93140,1044,2324,DHL,conventional,tour-based
93144,2420,2662,DHL,conventional,tour-based
93144,2662,1044,DHL,conventional,consolidated
93144,1044,2324,DHL,conventional,tour-based
93147,1413,1008,DHL,conventional,tour-based
93147,1008,1044,DHL,conventional,consolidated
93147,1044,2324,DHL,conventional,tour-based
93159,7254,4604,DPD,conventional,tour-based
93159,4604,2324,DPD,conventional,tour-based
93170,2335,4604,DPD,conventional,tour-based
93170,4604,2324,DPD,conventional,tour-based
93190,2341,2668,PostNL,conventional,tour-based
93190,2668,2324,PostNL,conventional,tour-based
93229,2343,2668,PostNL,conventional,tour-based
93229,2668,2324,PostNL,conventional,tour-based
93235,2432,2668,PostNL,conventional,tour-based
93235,2668,2324,PostNL,conventional,tour-based
93240,404,2668,PostNL,conventional,tour-based
93240,2668,2324,PostNL,conventional,tour-based
93243,2312,2668,PostNL,conventional,tour-based
93243,2668,2324,PostNL,conventional,tour-based
93247,3362,2668,PostNL,conventional,tour-based
93247,2668,2324,PostNL,conventional,tour-based
93284,1358,4604,DPD,conventional,tour-based
93284,4604,2327,DPD,conventional,tour-based
93286,2260,2668,PostNL,conventional,tour-based
93286,2668,2327,PostNL,conventional,tour-based
93287,6740,2668,PostNL,conventional,tour-based
93287,2668,2327,PostNL,conventional,tour-based
93294,2343,1044,DHL,conventional,tour-based
93294,1044,2330,DHL,conventional,tour-based
93295,4658,5501,DHL,conventional,tour-based
93295,5501,1044,DHL,conventional,consolidated
93295,1044,2330,DHL,conventional,tour-based
93323,2420,2668,PostNL,conventional,tour-based
93323,2668,2330,PostNL,conventional,tour-based
93360,2460,2668,PostNL,conventional,tour-based
93360,2668,2330,PostNL,conventional,tour-based
